"GEOID","estimate"
"72865",1381
"72901",21537
"72903",24758
"72904",23411
"72908",13303
"72916",8604
"72921",13729
"72923",4999
"72926",643
"72927",8366
"72928",937
"72930",319
"72932",1400
"72933",5293
"72934",678
"72935",453
"72936",14931
"72937",3340
"72938",1187
"72940",2830
"72941",5189
"72943",2076
"72944",3800
"72945",245
"72946",3760
"72947",3889
"72948",223
"72949",9408
"72950",386
"72951",912
"72952",2614
"72955",949
"72956",36187
"72958",6824
"72959",2701
"90001",59832
"90002",53302
"90003",73730
"90004",60541
"90005",39732
"90006",59576
"90007",42433
"90008",31754
"90010",3822
"90011",111165
"90012",36552
"90013",12559
"90014",8688
"90015",22651
"90016",45899
"90017",27723
"90018",53490
"90019",64534
"90020",39189
"90021",2945
"90022",67014
"90023",46680
"90024",51627
"90025",46883
"90026",68906
"90027",44770
"90028",29774
"90029",36668
"90031",39916
"90032",48031
"90033",49155
"90034",53861
"90035",27272
"90036",37965
"90037",67640
"90038",28580
"90039",29510
"90040",12328
"90041",29090
"90042",63193
"90043",45873
"90044",99443
"90045",40567
"90046",50900
"90047",51411
"90048",21489
"90049",36418
"90056",7649
"90057",50152
"90058",2718
"90059",46185
"90061",27873
"90062",35916
"90063",53980
"90064",25925
"90065",46461
"90066",59167
"90067",2428
"90068",21092
"90069",20230
"90071",126
"90073",953
"90077",8382
"90079",0
"90089",3786
"90090",0
"90094",9827
"90095",0
"90201",101965
"90210",19314
"90211",8019
"90212",13314
"90220",52817
"90221",51688
"90222",33200
"90230",32687
"90232",14780
"90240",26413
"90241",43215
"90242",42694
"90245",16731
"90247",48293
"90248",11607
"90249",26429
"90250",97072
"90254",19539
"90255",75019
"90260",34827
"90262",70536
"90263",1838
"90265",17954
"90266",35500
"90270",27287
"90272",21629
"90274",25061
"90275",42146
"90277",34827
"90278",40252
"90280",94642
"90290",5681
"90291",26950
"90292",23549
"90293",12728
"90301",38234
"90302",30017
"90303",24374
"90304",25946
"90305",15042
"90401",7111
"90402",11882
"90403",23902
"90404",22929
"90405",28156
"90501",41975
"90502",17778
"90503",44605
"90504",33410
"90505",37220
"90506",0
"90601",32053
"90602",25581
"90603",21584
"90604",42911
"90605",40192
"90606",32987
"90620",46414
"90621",35598
"90623",15662
"90630",49205
"90631",69064
"90638",49227
"90640",62730
"90650",105304
"90660",63001
"90670",16700
"90680",30531
"90701",16801
"90703",50589
"90704",3979
"90706",77195
"90710",28045
"90712",31217
"90713",28202
"90715",20256
"90716",14285
"90717",21508
"90720",22261
"90723",54513
"90731",60659
"90732",22780
"90740",24307
"90742",692
"90743",236
"90744",56880
"90745",56930
"90746",27075
"90747",0
"90755",11545
"90802",38962
"90803",32126
"90804",39239
"90805",95995
"90806",41990
"90807",32202
"90808",39330
"90810",37251
"90813",58380
"90814",19685
"90815",41312
"90822",133
"90831",0
"91001",37818
"91006",32958
"91007",34116
"91008",1084
"91010",26380
"91011",20301
"91016",41105
"91020",8633
"91024",10932
"91030",25637
"91040",20049
"91042",26966
"91046",158
"91101",21395
"91103",27659
"91104",37874
"91105",12617
"91106",25543
"91107",32503
"91108",13375
"91201",23281
"91202",23345
"91203",15410
"91204",18723
"91205",37638
"91206",34739
"91207",11031
"91208",15860
"91210",529
"91214",30787
"91301",26334
"91302",26712
"91303",31586
"91304",54361
"91306",49678
"91307",26341
"91311",40839
